text,date,sentiment,promotional,view_count,like_count,dislike_count,love_count,fire_count,happy_count,shocked_count,sad_count,party_count,star_eyes_count,total_reactions
"Bitcoin 2024-yil oxiriga kelib 100 ming dollarga yetishi mumkinligi bashorat qilinmoqda

 https://uzreport.news/world/bitcoin-2024-yil-oxiriga-kelib-100-000-dollarga-yetishi-mumkinligi-bashorat-qilinmoqda

",2023-05-01 19:16:00,positive,no,10815,40,3,0,0,12,0,0,0,0,55
"Avstraliyadagi Pentrij qamoqxonasi hashamatli mehmonxonaga aylantirildi

 https://uzreport.news/world/avstraliyadagi-pentrij-qamoqxonasi-hashamatli-mehmonxonaga-aylantirildi

",2023-05-01 19:02:42,positive,no,10595,34,0,0,0,21,1,0,2,0,58
"Kartoshkaning O‘zbekiston tuproq iqlim sharoitiga mos, ertapishar ""Toshkent ertagisi"" navi ixtiro qilindi

 https://uzreport.news/society/kartoshkaning-o-zbekiston-tuproq-iqlim-sharoitiga-mos-ertapishar-toshkent-ertagisi-navi-ix

",2023-05-01 18:15:00,positive,no,10195,30,0,0,1,0,0,0,0,0,31
"Boks bo‘yicha Toshkentda o‘tkazilayotgan jahon chempionatiga kirish bepul bo‘ladi

 https://uzreport.news/sports/boks-bo-yicha-toshkentda-o-tkazilayotgan-jahon-chempionatiga-kirish-bepul-bo-ladi

",2023-05-01 17:45:00,positive,no,10729,67,0,0,2,2,0,0,11,0,82
"Oʻzbekistonda xizmat koʻrsatgan yoshlar murabbiysi Jahongir Ibragimov 70 yoshida vafot etdi

Uzreport.news tahririyati marhumning yaqinlariga chuqur hamdardlik bildiradi.

 https://uzreport.news/culture/o-zbekistonda-xizmat-ko-rsatgan-yoshlar-murabbiysi-jahongir-ibragimov-70-yoshida-vafot-etd

",2023-05-01 17:30:00,negative,no,10446,7,0,0,0,0,1,27,0,0,35
"O'zbekistonda 11-noyabr kuni ishlanmaydigan bayram kunlari qatoriga qo‘shilyapti

""Uzreport.news"" manbasining xabar berishicha, Oliy Majlis Qonunchilik palatasidagi O‘zXDP fraksiyasining yig'ilishida fraksiya a'zolar ushbu qonun loyihasini ko'rib chiqdi. 

 https://uzreport.news/society/ozbekistonda-11-noyabr-kuni-ishlanmaydigan-bayram-kunlari-qatoriga-qo-shilyapti

",2023-05-01 17:15:34,positive,no,9976,16,0,0,0,5,1,0,0,0,22
"O‘zbekiston Respublikasi referendumining yakuniy natijalari e'lon qilindi. 

Unga ko'ra, referendumda ovoz bergan fuqarolar 16 667 097 yoki umumiy saylovchilarning 84,50 foizini tashkil etdi.

15 034 608 nafar fuqaro yoki ovoz berishda qatnashganlarning 90,2 foizi yangi tahrirdagi Konstitusiyani yoqlab ovoz berdi. Qarshi ovoz berganlarning soni 1 558 817 tani yoki saylovchilarning 9,35% ni tashkil qildi. 73 672 ta byulleten haqiqiy emas deb topil",2023-05-01 17:11:58,negative,no,10012,14,51,0,5,0,0,0,0,0,70
"MSK 3 ta referendum uchastkasidagi ovoz berish yakunlarini haqiqiy emas deb topdi

 https://uzreport.news/politics/msk-3-ta-referendum-uchastkasidagi-ovoz-berish-yakunlarini-haqiqiy-emas-deb-topdi

",2023-05-01 16:45:37,positive,no,9866,21,0,0,0,54,3,0,0,12,90
"Toshkentda 21 yoshli Lacetti haydovchisi ""peshexod""dan o'tayotgan 47 yoshli ayolni urib yubordi

Ayol shifoxonaga yotqizilgan. 

 https://uzreport.news/society/toshkentda-21-yoshli-lacetti-haydovchisi-peshexoddan-otayotgan-47-yoshli-ayolni-urib-yubor

",2023-05-01 16:30:00,negative,no,10045,7,33,0,0,0,5,2,0,0,47
"Hafta davomida Qozog‘iston hududlaridan O‘zbekistonga kuchsiz salqin havo oqimi kirib kelishi kutilmoqda

 https://uzreport.news/society/hafta-davomida-qozog-iston-hududlaridan-o-zbekistonga-nisbatan-kuchsiz-salqin-havo-oqimi-k

",2023-05-01 16:15:00,positive,no,10300,36,0,0,0,0,0,0,0,0,36
"Oliy Majlis Senatining navbatdagi yalpi majlisi 3-may kuni chaqiriladi

 https://uzreport.news/politics/oliy-majlis-senatining-navbatdagi-yalpi-majlisi-3-may-kuni-chaqiriladi

",2023-05-01 16:00:00,positive,no,10283,8,0,0,0,3,1,0,0,0,12
"O'zbekistonda 1-maydan mehnatga haq to‘lashning eng kam miqdori oyiga 980 ming, BHM esa 330 ming so‘m etib belgilandi

 https://uzreport.news/society/ozbekistonda-1-maydan-mehnatga-haq-to-lashning-eng-kam-miqdori-oyiga-980-ming-bhm-esa-330-

",2023-05-01 15:40:00,positive,no,10830,29,0,0,0,0,0,0,0,0,29
"Boks bo'yicha Jahon chempionati bahslariga qur’a tashlandi, o‘zbekistonliklarga kimlar raqib bo‘ladi?

 https://uzreport.news/sports/boks-boyicha-jahon-chempionati-bahslariga-qur-a-tashlandi-o-zbekistonliklarga-kimlar-raqib

",2023-05-01 15:20:42,positive,no,10591,27,0,0,1,1,0,0,0,0,29
"Haj tadbirini tashkil etish vazifasi sayyohlik firmasi yoki turagentliklar vakolatiga kirmaydi — Din ishlari bo‘yicha qo‘mita Haj ibodati haqidagi reklama va e’lonlarga munosabat bildirdi

 https://uzreport.news/society/haj-tadbirini-tashkil-etish-vazifasi-sayyohlik-firmasi-yoki-turagentliklar-vakolatiga-kirm

",2023-05-01 15:00:37,positive,yes,10856,19,1,0,0,3,0,0,0,0,23
"Sadir Japarov Shavkat Mirziyoyevni referendum muvaffaqiyatli o‘tkazilgani bilan qutladi

 https://uzreport.news/politics/sadir-japarov-shavkat-mirziyoyevni-referendum-muvaffaqiyatli-o-tkazilgani-bilan-qutladi

",2023-05-01 14:40:41,negative,no,11380,22,59,0,0,7,0,0,2,1,91
"Yengil atletikachilarimiz Osiyo chempionatida 12 ta medalni qoʻlga kiritishdi

 https://uzreport.news/sports/yengil-atletikachilarimiz-osiyo-chempionatida-12-ta-medalni-qo-lga-kiritishdi

",2023-05-01 13:40:39,positive,no,11367,21,0,0,1,0,0,0,2,0,24
"Paragvaydagi prezidentlik saylovlarida Santyago Penya g'alaba qozondi

 https://uzreport.news/world/paragvaydagi-prezidentlik-saylovlarida-santyago-penya-galaba-qozondi

",2023-05-01 13:21:02,positive,no,11433,27,0,0,3,0,0,0,0,0,30
"O‘zbekiston IT sohasi rekord darajadagi o‘sish sur’atlarini namoyish etmoqda

2023-yil oxiriga kelib eksport hajmi 300 million dollarga yetishi kutilmoqda. 

 https://uzreport.news/economy/o-zbekiston-it-sohasi-rekord-darajadagi-o-sish-sur-atlarini-namoyish-etmoqda

",2023-05-01 12:40:46,positive,no,11666,40,0,0,4,1,0,0,0,0,45
"Qashqadaryoda sodir bo‘lgan ikkita YTHda 6 kishi halok bo‘ldi

 https://uzreport.news/society/qashqadaryoda-sodir-bo-lgan-ikkita-ythda-6-kishi-halok-bo-ldi

",2023-05-01 12:20:50,negative,no,11709,12,0,0,0,1,3,22,1,0,39
"Davlat qarzi yalpi ichki mahsulotning 60 foizidan ko‘p bo‘lmasligi kerak

“Davlat qarzi to‘g‘risida”gi qonun prezident tomonidan imzolandi. 

 https://uzreport.news/politics/davlat-qarzi-yalpi-ichki-mahsulotning-60-foizidan-ko-p-bo-lmasligi-kerak

",2023-05-01 12:00:12,positive,no,11756,26,0,0,0,10,1,0,0,0,37
"Markaziy saylov komissiyasi Matbuot markazida MSK raisi ishtirokida brifing bo‘lib o‘tdi.

Unda Markaziy saylov komissiyasi raisi Z.Nizomxo‘jayev 30-aprel kuni bo‘lib o‘tgan O‘zbekiston Respublikasi referendumining dastlabki natijalari bo‘yicha ma’lumot berdi.

Unda O‘zbekiston Respublikasi Konstiitusiyaviy qonun loyihasi qabul qilingan deyishga asoslar yetarli ekanligi ta’kidlandi.

-  -",2023-05-01 11:40:01,negative,no,11630,17,54,0,0,6,0,0,2,0,79
"O‘zbekiston Respublikasi referendumining dastlabki natijalari e'lon qilindi. 

Unga ko'ra, referendumda ovoz bergan fuqarolar 16,7 mln yoki umumiy saylovchilarning 84,54 foizini tashkil etdi.

15 milliondan ortiq nafar fuqaro yoki ovoz berishda qatnashganlarning 90,21 foizi yangi tahrirdagi Konstitusiyani yoqlab ovoz berdi.

-  -",2023-05-01 11:18:25,negative,no,12340,21,118,0,0,24,1,1,1,2,168
"Toshkentda Spark avtomobili Nexia bilan to'qnashib, ag'darilib ketdi

 https://uzreport.news/society/toshkentda-spark-avtomobili-nexia-bilan-toqnashib-agdarilib-ketdi

",2023-05-01 10:40:38,negative,no,11983,3,10,0,0,0,3,0,0,0,16
"1-may — Favvoralar kuni!

Toskentdagi favvoralar ro‘yxati  https://uzreport.news/society/1-may-favvoralar-kuni-

",2023-05-01 09:46:05,positive,no,12653,13,0,0,0,15,0,0,1,0,29
"Erdo'g' on Suriyada IShID yetakchisi yo‘q qilingani haqida xabar berdi

 https://uzreport.news/world/erdog-on-suriyada-ishid-yetakchisi-yo-q-qilingani-haqida-xabar-berdi

",2023-05-01 09:20:01,positive,no,13453,73,1,0,0,6,0,0,0,0,80
"1-may: O'zbekistonda kuzatiladigan ob-havo ma’lumoti e’lon qilindi

 https://uzreport.news/society/1-may-ozbekistonda-kuzatiladigan-ob-havo-ma-lumoti-e-lon-qilindi

",2023-05-01 07:01:54,positive,no,15759,22,0,0,0,0,0,0,0,0,22
"Mercedes oʻz elektromobillarini toʻliq quvvat bilan ishlatishga pullik obuna joriy qildi

Obuna naxri qancha?  https://uzreport.news/technology/mercedes-benz-ozining-elektr-avtomobillarining-barcha-quvvatlarini-ochish-uchun-obunani-is

",2023-04-30 21:10:02,negative,no,16542,19,56,0,0,14,0,0,0,0,89
"Toshkentdagi referendum okrugida ayol kishi 16 ta byulletenlarni ketma-ket belgilab turgani aniqlandi

Holat yuzasidan Markaziy saylov komissiyasi izoh berdi. 

 https://uzreport.news/society/14-toshkent-shahar-referendum-okrugi-772-uchastkasida-ayol-kishi-bir-nechta-byulletenlarni

",2023-04-30 20:30:01,positive,no,15691,21,0,0,0,109,3,0,0,2,135
"Zelenskiy Si Szinpin bilan suhbat tafsilotlarini oshkor qildi

Ukraina prezidenti Si Szinpindan Rossiyaga har qanday turdagi qurol-yarog‘ yetkazib berish xavfi bo‘yicha “ijobiy javob”ni eshitganini ta’kidladi. 

 https://uzreport.news/world/zelenskiy-si-szinpin-bilan-suhbat-tafsilotlarini-oshkor-qildi

",2023-04-30 19:40:01,positive,no,12395,15,0,0,0,35,0,0,0,0,50
"Qo‘qon shahrida ""Golden Valley Marathon"" xalqaro marafoni o‘tkazildi

 https://uzreport.news/sports/qo-qon-shahrida-golden-valley-marathon-xalqaro-marafoni-o-tkazildi

",2023-04-30 18:40:00,positive,no,11064,16,0,0,0,0,0,0,0,0,16
"Qilichbozlik boʻyicha Oʻzbekiston chempionati: Fayzullo Alimov va Dilnaz Murtazayeva oltin medalni qoʻlga kiritdi

 https://uzreport.news/sports/toshkentda-qilichbozlik-bo-yicha-bolib-otayotgan-o-zbekiston-chempionatida-shpaga-boyicha-

",2023-04-30 16:40:35,positive,no,10383,23,0,0,0,0,0,0,0,0,23
"G7 davlatlari sun’iy intellektni boshqarishning beshta tamoyili boʻyicha kelishib oldilar

 https://uzreport.news/world/g7-davlatlari-sun-iy-intellektni-boshqarishning-beshta-tamoyili-bo-yicha-kelishib-oldilar

",2023-04-30 16:20:31,positive,no,10206,19,0,0,0,2,0,0,0,0,21
"Qoraqalpog'istonda yigitlar nogiron ukasini urgani uchun haydovchini kaltakladi

 https://uzreport.news/society/qoraqalpogistonda-yigitlar-nogiron-ukasini-urgani-uchun-haydovchini-kaltakladi

",2023-04-30 16:02:05,positive,no,9493,67,0,0,1,0,2,0,0,0,70
"2030-yilga borib O‘zbekistonda 7 mlrd kub suv yetishmaydi - Suv xo‘jaligi vazirligi

 https://uzreport.news/society/2030-yilga-borib-o-zbekistonda-7-mlrd-kub-suv-yetishmaydi

",2023-04-30 15:40:36,negative,no,10031,3,4,0,1,0,14,57,0,0,79
"Yamal aviakompaniyasining Qarshi aeroportidan mavjud bo‘lmagan parvozi uchun aviachiptalar sotildi

""O‘zaviatsiya"" agentligi aviakompaniyalarning mavjud bo‘lmagan reysi uchun aviachiptalarning sotilishi holatlari uchrayotganidan ogohlantirmoqda. 

 https://uzreport.news/society/yamal-aviakompaniyasining-qarshi-aeroportidan-mavjud-bo-lmagan-parvozi-uchun-aviachiptalar

",2023-04-30 15:00:00,positive,no,9719,13,0,0,0,0,0,0,0,0,13
"Boxrec talqiniga ko‘ra o‘zbekistonlik bokschilar TOP-10 taligi tuzildi

 https://uzreport.news/sports/boxrec-talqiniga-ko-ra-o-zbekistonlik-bokschilar-top-10-taligi-tuzildi

",2023-04-30 14:20:56,positive,no,9695,29,2,0,0,0,0,0,0,0,31
"Qirg‘iziston Milliy banki 200, 500 va 1000 somlik yangi banknotlarni muomalaga chiqaradi

 https://uzreport.news/world/qirg-iziston-milliy-banki-200-500-va-1000-so-mlik-yangi-banknotlarni-muomalaga-chiqaradi

",2023-04-30 13:40:34,positive,no,8352,27,0,0,0,10,0,0,0,0,37
"Sirdaryoda 500 mln dollarlik O‘zbekiston–Xitoy biotexnologiyalar klasteri quriladi

 https://uzreport.news/economy/sirdaryoda-500-mln-dollarlik-o-zbekiston-xitoy-biotexnologiyalar-klasteri-quriladi

",2023-04-30 13:15:01,negative,no,8834,21,29,0,0,0,0,0,0,0,50
"🥳 Yengil atletika: Sharifa Davronova rekord bilan Osiyo chempionligini qoʻlga kiritdi

 https://uzreport.news/sports/yengil-atletika-sharifa-davronova-rekord-bilan-osiyo-chempionligini-qo-lga-kiritdi

",2023-04-30 10:15:18,positive,no,9138,60,0,0,2,0,0,0,8,4,74
" O‘zbekiston Respublikasining referedumida ovoz berish tartibi:

1. Fuqaro ovoz berish binosiga kelgach, uchastka komissiyasi aʼzosiga o‘z shaxsini tasdiqlovchi hujjatni ko‘rsatadi.

2. Ovoz beruvchi fuqarolar ro‘yxatiga imzo qo‘yadi.

3. Fuqaroga ovoz berish byulleteni beriladi.

4. Byulleten ovoz beruvchi tomonidan yashirin ovoz berish kabinasi yoki xonasida to‘ldiriladi.

5. Fuqaro byulletenda referendumga qo‘yilayotgan masala bo‘yicha o‘zi ov",2023-04-30 08:30:35,negative,no,10306,21,42,0,0,0,0,0,0,1,64
" O‘zbekiston Respublikasi Konstitutsiyaviy Qonuni loyihasi bo‘yicha referendumda ovoz berish boshlandi.

Soat 08:00 da respublika bo'ylab tashkil etilgan 10 758 ta uchastka o'z eshiklarini ochdi. Referendumda ovoz berish 12 soat davom etib, O'zbekiston hududida soat 20:00 da o'z nihoyasiga yetadi.

Fuqarolar saylov byulletenida bitta savolga javob berishi kerak: “Siz «O‘zbekiston Respublikasining Konstitusiyasi to‘g‘risida»gi O‘zbekiston Respubli",2023-04-30 08:01:47,negative,no,13367,22,61,0,0,0,0,0,0,0,83
"Aprel oyining so'nggi kuni O'zbekiston bo'ylab qanday ob-havo kuzatilishi ma'lum bo'ldi 

 https://uzreport.news/society/aprel-oyining-songgi-kuni-ozbekiston-boylab-qanday-ob-havo-kuzatilishi-malum-boldi

",2023-04-30 07:30:33,positive,no,14100,14,0,0,0,0,0,0,0,0,14
"Erdo'g'an bu yil Xalqaro kosmik stansiyaga uchadigan birinchi turk kosmonavtini ma'lum qildi

 https://uzreport.news/world/erdogan-bu-yil-xalqaro-kosmik-stansiyaga-ketadigan-birinchi-turk-kosmonavti-haqida-malum-q

",2023-04-29 22:16:57,positive,no,16467,87,0,0,0,2,0,0,0,0,89
"O‘zbekiston Syerra-Leone Respublikasi bilan diplomatik munosabatlarni o‘rnatdi

 https://uzreport.news/politics/o-zbekiston-va-syerra-leone-respublikasi-o-rtasida-diplomatik-munosabatlar-o-rnatildi

",2023-04-29 18:59:50,positive,no,16518,40,3,0,0,30,2,0,0,0,75
"Erdo'g'an kasal bo'lganidan keyin birinchi marta omma oldida chiqish qildi

 https://uzreport.news/world/erdogan-kasal-bolganidan-keyin-birinchi-marta-omma-oldida-chiqish-qildi

",2023-04-29 18:39:58,positive,no,15492,52,0,0,0,0,0,0,3,0,55
"Farg'onada farzandini davolatish uchun qariyb 7 mln so'm o'tkazib berishni so'ragan ""kiber shovvoz"" qo'lga olindi

U 8 yilgacha ozodlikdan mahrum qilinishi mumkin. 

 https://uzreport.news/society/fargonada-farzandini-davolatish-uchun-qariyb-7-mln-som-otkazib-berishni-soragan-kiber-shov

",2023-04-29 18:21:14,positive,no,14765,41,0,0,0,2,7,0,2,0,52
"Xalqaro moliya institutlari amalga oshirayotgan loyihalar doirasida sotib olinadigan tovarlarga QQS boʻyicha imtiyoz qoʻllaniladi

 https://uzreport.news/economy/xalqaro-moliya-institutlari-amalga-oshirayotgan-loyihalar-doirasida-sotib-olinadigan-tovar

",2023-04-29 17:41:04,positive,no,11774,14,0,0,0,0,0,0,0,0,14
"Namanganda qariyb 4 ming dollar qalbaki pullarni sotmoqchi bo‘lgan shaxs qo'lga olindi

 https://uzreport.news/society/namanganda-qariyb-4-ming-dollar-qalbaki-pullarni-sotmoqchi-bo-lgan-shaxs-qolga-olindi

",2023-04-29 16:59:50,positive,no,11263,19,1,0,0,6,0,0,0,0,26
"Banklar ehtiyojidan ortiqcha naqd pullarni boshqa banklarga taklif qilish imkoniyati joriy etiladi

 https://uzreport.news/finance/banklar-ehtiyojidan-ortiqcha-naqd-pullarni-boshqa-banklarga-taklif-qilish-imkoniyati-joriy

",2023-04-29 16:01:26,positive,no,10946,14,0,0,0,0,2,0,0,0,16
"Prezident Shavkat Mirziyoyev 2-may kuni Germaniyaga tashrif buyuradi

Tashrif chog‘ida Jeyms Simons galereyasida “O‘zbekistonning arxeologik xazinalari. Makedoniyalik Iskandardan Kushonlar imperiyasigacha” nomli ko‘rgazmaning ochilishi rejalashtirilgan. 

 https://uzreport.news/politics/prezident-shavkat-mirziyoyev-germaniyaga-amaliy-tashrif-bilan-boradi

",2023-04-29 15:39:50,positive,no,11474,348,13,0,0,3,0,0,0,0,364
"O'zbekistonda may oyining boshi qanday ob-havo bilan boshlanishi ma'lum bo'ldi

 https://uzreport.news/society/ozbekistonda-may-oyining-boshi-qanday-ob-havo-bilan-boshlanishi-malum-boldi

",2023-04-29 15:19:50,positive,no,11182,15,0,0,0,0,0,0,0,0,15
"Farg'onada quloqchin taqib, relsda o'tirgan 28 yoshli yigit yuk poyezdi bosib ketishi oqibatida vafot etdi

 https://uzreport.news/society/fargonada-quloqchin-taqib-relsda-otirgan-28-yoshli-yigit-yuk-poyezdi-bosib-ketishi-oqibati

",2023-04-29 13:39:50,negative,no,11968,11,0,0,0,0,5,47,0,0,63
"Arab astronavti birinchi marta koinotga chiqdi

 https://uzreport.news/world/arab-astronavti-birinchi-marta-koinotga-chiqdi

",2023-04-29 12:59:58,positive,no,11337,79,0,0,0,2,0,0,0,0,81
"O'zbekistonda 2023-yil 1-sentabrdan talabalarga ijara to‘lovi bir qismini qoplab berishning soddalashtirilgan tartibi joriy etiladi

 https://uzreport.news/society/ozbekistonda-2023-yil-1-sentabrdan-talabalarga-ijara-to-lovi-bir-qismini-qoplab-berishning

",2023-04-29 12:39:50,positive,no,11317,31,0,0,0,0,0,0,0,0,31
"Joriy yilning 30-aprel kuni Toshkent metropolitenining barcha bekatlari soat 05:00 dan ish faoliyatini boshlaydi. 

Shuningdek, bu kunda yo‘nalishlarda poyezdlar harakati ish kunlari uchun tasdiqlangan doimiy jadval asosida tashkillashtiriladi. 

Avtobuslar harakati ish kunlari jadvali asosida tashkil etiladi.  

",2023-04-29 12:35:51,positive,no,11053,22,0,0,0,0,0,0,0,0,22
"Prezidentlikka nomzod Kamol Qilichdorog’li Turkiyaning Yevropa ittifoqiga kirishini va'da qildi

 https://uzreport.news/world/prezidentlikka-nomzod-kamol-qilichdorog-li-turkiyaning-yevropa-ittifoqiga-kirishini-vada-q

",2023-04-29 12:19:58,negative,no,11159,20,124,0,1,4,2,0,0,0,151
"Xitoydagi Osiyo chempionatida o'zbekistonlik harbiy sportchilar 2 ta oltin medalni qo‘lga kiritdi

 https://uzreport.news/sports/xitoydagi-osiyo-chempionatida-ozbekistonlik-harbiy-sportchilar-2-ta-oltin-medalni-qo-lga-k

",2023-04-29 12:00:55,positive,no,11651,50,0,0,0,0,0,0,0,0,50
"Iroqda umrbodga va uzoq muddatlarga qamalgan o‘zbekistonlik ayollar Shavkat Mirziyoyevdan yordam so‘rab murojaat qilishdi

Bosh prokuratura holat bo'yicha munosabt bildirdi

Batafsil  https://uzreport.news/society/iroqda-umrbodga-va-uzoq-muddatlarga-qamalgan-o-zbekistonlik-ayollar-shavkat-mirziyoyevdan-

",2023-04-29 11:20:42,negative,no,11829,18,43,0,0,0,2,0,0,0,63
"Oʻzbekiston va Ozarbayjon oʻrtasida harbiy soha va harbiy-texnikaviy hamkorlik toʻgʻrisidagi bitimlar ratifikatsiya qilindi

 https://uzreport.news/politics/o-zbekiston-ozarbayjon-bilan-harbiy-hamda-harbiy-texnikaviy-sohalarda-hamkorlik-qiladi

",2023-04-29 10:40:04,positive,no,12672,257,2,0,2,0,0,0,2,0,263
"O‘zbekistonda 2023-yilning birinchi choragida o‘rtacha hisoblangan nominal ish haqi 4,1 mln so‘mni tashkil qildi

 https://uzreport.news/society/o-zbekistonda-2023-yilning-birinchi-choragida-o-rtacha-hisoblangan-nominal-ish-haqi-4-1-ml

",2023-04-29 10:03:55,negative,no,13012,15,69,0,2,9,1,0,0,0,96
"29-aprel kuni O'zbekiston bo'ylab qanday ob-havo kuzatilishi ma'lum bo'ldi

 https://uzreport.news/society/29-aprel-kuni-ozbekiston-boylab-qanday-ob-havo-kuzatilishi-malum-boldi

",2023-04-29 07:30:22,positive,no,15328,11,0,0,0,0,0,0,0,0,11
"Uzbekistan Airways Jakartaga muntazam aviaqatnovlarni yo‘lga qo‘ydi

 https://uzreport.news/society/uzbekistan-airways-jakartaga-muntazam-aviaqatnovlarni-yo-lga-qo-ydi

",2023-04-28 21:32:10,positive,no,14378,24,0,0,0,0,0,0,0,0,24
"Yunusoboddagi “Yo‘layriq” mahallasida ajrimlar ko‘paygani uchun mahalla nomi “Obihayot”ga o‘zgarishi mumkin

 https://uzreport.news/society/yunusoboddagi-yo-layriq-mahallasida-ajrimlar-ko-paygani-uchun-mahalla-nomi-obihayotga-o-zg

",2023-04-28 21:16:10,positive,no,14929,11,0,0,0,117,0,0,0,2,130
"Namanganda 2 yoshli bola ""Damas"" urib ketishi natijasida vafot etdi

 https://uzreport.news/society/namanganda-2-yoshli-bola-damas-urib-ketishi-natijasida-vafot-etdi

",2023-04-28 21:01:43,negative,no,11962,3,4,0,0,0,17,39,0,0,63
"Buxorodagi ustaxonada gaz balloni yorilib ketishi oqibatida 2 kishi 95 foiz kuyish bilan shifoxonaga yotqizildi

 https://uzreport.news/society/buxorodagi-ustaxonada-gaz-balloni-yorilib-ketishi-oqibatida-2-kishi-95-foiz-kuyish-bilan-s

",2023-04-28 20:30:03,negative,no,11626,2,1,0,0,0,8,35,0,0,46
"O'zbekistonlik eshkak eshuvchilar Osiyo chempionatining uchinchi kunida 3 ta oltin va 2 ta kumush medal jamgʻarishdi

 https://uzreport.news/society/eshkak-eshuvchilarimiz-osiyo-chempionatining-uchinchi-kunida-3-ta-oltin-va-2-ta-kumush-med

",2023-04-28 20:16:20,positive,no,11491,44,2,0,0,0,0,0,4,0,50
"Shavkat Mirziyoyev O‘zbekiston musulmonlari idorasi raisi, muftiy Nuriddin Xoliqnazarovni qabul qildi

 https://uzreport.news/society/shavkat-mirziyoyev-o-zbekiston-musulmonlari-idorasi-raisi-muftiy-nuriddin-xoliqnazarovni-q

",2023-04-28 20:02:02,positive,no,11545,307,5,0,1,1,1,0,0,0,315
